"cell_id","total_counts","total_genes","log_counts","log_genes","is_count_outlier","is_gene_outlier","is_potential_doublet"
"0",2646,1207,3.42258983985148,3.08170727009735,FALSE,FALSE,FALSE
"0",10124,3805,4.00535213648622,3.58035466110659,FALSE,FALSE,FALSE
"0",4015,1813,3.6036855496147,3.25839780409551,FALSE,FALSE,FALSE
"0",6823,2558,3.83397537127991,3.40790054014264,FALSE,FALSE,FALSE
"0",6282,2491,3.79809793206249,3.39637372753651,FALSE,FALSE,FALSE
"0",5940,2184,3.77378644498119,3.3392526340327,FALSE,FALSE,FALSE
"0",2043,921,3.31026836663245,2.96425963019685,FALSE,FALSE,FALSE
"0",15321,4039,4.1852871125752,3.60627385316999,FALSE,FALSE,FALSE
"0",4078,1807,3.61044722144212,3.25695815256093,FALSE,FALSE,FALSE
"0",4643,1892,3.66679868366617,3.27692113206577,FALSE,FALSE,FALSE
"0",10997,3801,4.04127422505423,3.5798978696031,FALSE,FALSE,FALSE
"0",6067,2372,3.78297399494405,3.37511468469223,FALSE,FALSE,FALSE
"0",5829,2220,3.76559405531945,3.34635297445064,FALSE,FALSE,FALSE
"0",2605,1144,3.41580772763554,3.058426024457,FALSE,FALSE,FALSE
"0",31400,5436,4.49692964807322,3.73527944806046,TRUE,FALSE,FALSE
"0",2376,1329,3.37584643630916,3.12352498094273,FALSE,FALSE,FALSE
"0",7986,3583,3.90232930585832,3.55424680816611,FALSE,FALSE,FALSE
"0",5192,2110,3.71533468379231,3.32428245529769,FALSE,FALSE,FALSE
"0",9704,3067,3.98695078785852,3.48671377598249,FALSE,FALSE,FALSE
"0",1813,973,3.25839780409551,2.98811284026835,FALSE,FALSE,FALSE
"0",5766,2264,3.76087463805219,3.35487642251623,FALSE,FALSE,FALSE
"0",6435,2511,3.80854855124041,3.39984671271292,FALSE,FALSE,FALSE
"0",18673,4474,4.27121409720883,3.65069597976061,FALSE,FALSE,FALSE
"0",3435,1593,3.53592674139557,3.20221577580113,FALSE,FALSE,FALSE
"0",19331,4475,4.28625432082879,3.65079303965193,FALSE,FALSE,FALSE
"0",6614,2455,3.82046419057768,3.39005149645899,FALSE,FALSE,FALSE
"0",3829,2024,3.58308536634769,3.30621050816776,FALSE,FALSE,FALSE
"0",13183,3744,4.12001425207807,3.57333584006607,FALSE,FALSE,FALSE
"0",12529,3543,4.09791640923733,3.54937115233318,FALSE,FALSE,FALSE
"0",5107,1925,3.70816585785554,3.28443073384452,FALSE,FALSE,FALSE
"0",6513,2417,3.81378107817408,3.38327665040765,FALSE,FALSE,FALSE
"0",5755,2414,3.76004532796581,3.38273726576133,FALSE,FALSE,FALSE
"0",3607,1657,3.55714614231836,3.21932250841934,FALSE,FALSE,FALSE
"0",12558,3952,4.09892047872233,3.59681693591559,FALSE,FALSE,FALSE
"0",6776,2432,3.83097339732265,3.3859635706007,FALSE,FALSE,FALSE
"0",8155,2906,3.91142396537629,3.463295609962,FALSE,FALSE,FALSE
"0",11449,3354,4.05876755537042,3.52556305827007,FALSE,FALSE,FALSE
"0",15509,4363,4.19058379597718,3.63978521298682,FALSE,FALSE,FALSE
"0",15940,4481,4.20248831706009,3.65137494391304,FALSE,FALSE,FALSE
"0",9962,3131,3.99834653739636,3.49568306761692,FALSE,FALSE,FALSE
"0",5032,2076,3.70174063243721,3.31722734917642,FALSE,FALSE,FALSE
"0",4156,1691,3.61867553888514,3.22814360759774,FALSE,FALSE,FALSE
